0.025,0.025,0.205,0.698135,0.523601
0.01,0,0.025,0.617237,0.462928
0.005,0.015,0.2175,0.547458,0.410593
0.02,0.0075,1.3925,0.473895,-0.15
0.005,0.01,2.305,0.501659,-0.225
0.005,0.0025,1.62,0.541335,-0.175
0.015,0.02,0.395,0.572123,-0.05
0.0225,0.015,0.09,0.583144,0.437358
0.0025,0.02,0.02,0.514393,0.385795
0.01,0.0125,0.0975,0.454126,0.340594
0.005,0.0175,0.105,0.400692,0.300519
0.0075,0.0175,0.1825,0.374856,0.281142
0.005,0,0.685,0.340858,-0.075
0.01,0.01,0.7725,0.349262,-0.075
0.0225,0.005,0.145,0.355271,0.266453
0.0225,0,0.15,0.327851,0.245888
0.0025,0.0125,0.15,0.302589,0.226942
0.0075,0.0225,0.4025,0.280546,-0.05
0.02,0.0175,1.135,0.285269,-0.125
0.0025,0.0075,1.165,0.29509,-0.125
0.01,0,1.27,0.304924,-0.125
0.02,0.0175,0.1625,0.327403,0.245552
0.01,0.0225,0.0125,0.291923,0.218942
0.0125,0.0225,0.0225,0.264443,0.198332
0.025,0.02,0.0125,0.235498,0.176624
0.02,0.0175,0.015,0.207188,0.155391
0,0.005,0.0125,0.182829,0.137122
0.02,0.0225,0.0125,0.162079,0.121559
0.02,0.0225,0.0175,0.149423,0.112067
0.005,0.02,0.025,0.133965,0.100474
0.01,0.025,0.02,0.120611,0.0904579
0.0125,0.005,0.0125,0.107169,0.0803765
0.0125,0.015,0.015,0.0912519,0.0684389
0,0.0225,0.015,0.0846141,0.0634606
0.0225,0.0175,0.0175,0.0789921,0.0592441
0.01,0,0.0225,0.0732603,0.0549452
0.0075,0.01,0.0075,0.0663234,0.0497425
0.0025,0.0175,0.01,0.0603345,0.0452508
0.025,0.02,0.0075,0.0541285,0.0405964
0.015,0.015,0.01,0.0479322,0.0359491
0.0225,0.02,0.005,0.0415644,0.0311733
0.02,0.0125,0.0175,0.0350031,0.0262523
0.0225,0.0025,0.015,0.0280218,0.0210164
0.015,0.0225,0.0025,0.0296255,0.0222191
0.015,0.0175,0.02,0.0312068,0.0234051
0.0125,0.0075,0.0125,0.0329005,0.0246754
0.0025,0.025,0.025,0.0348681,0.026151
0.015,0.025,0.0025,0.0280809,0.0210607
0.005,0.02,0.02,0.0300071,0.0225054
0.015,0.0175,0.0025,0.0321888,0.0241416
0.0125,0.0025,0.0125,0.0346748,0.0260061
0.0175,0.015,0.01,0.031502,0.0236265
0.0125,0.02,0.0175,0.034676,0.026007
0.0175,0.005,0.015,0.0315559,0.023667
0.0175,0.0225,0.0075,0.0354543,0.0265907
0.005,0.01,0.02,0.0329548,0.0247161
0.0025,0.0125,0,0.0377259,0.0282944
0.0175,0.005,0.025,0.0356826,0.026762
0.0125,0.02,0.015,0.0341993,0.0256495
0.02,0.015,0.0225,0.0326307,0.024473
0.0025,0.005,0.0075,0.0407148,0.0305361
0.02,0.025,0.01,0.0420384,0.0315288
0.015,0,0.0125,0.047624,0.035718
0.02,0.0175,0.0125,0.0647099,0.0485324
0.01,0.0075,0.0125,0.175179,0.131384
